hora,cpu,ram,disco,net_enviada,net_recibida
2026-05-12 19:35:45,4.2,63.0,22.7,503749551,2270388200
2026-05-12 19:35:46,2.3,63.0,22.7,503749551,2270388260
2026-05-11 19:35:47,2.4,63.0,22.7,503749633,2270389170
2026-05-11 19:35:48,1.1,63.0,22.7,503749633,2270389212
2026-05-11 19:35:49,2.6,63.0,22.7,503749633,2270389368
2026-05-11 19:35:50,1.4,63.0,22.7,503749633,2270389428
2026-05-11 19:35:51,2.3,63.0,22.7,503749633,2270389632
2026-05-11 19:35:52,3.8,63.0,22.7,503749723,2270389814
2026-05-11 19:35:53,3.6,63.0,22.7,503749723,2270389916
2026-05-11 19:35:54,3.2,63.0,22.7,503749805,2270390162
2026-05-11 19:35:55,2.8,63.0,22.7,503749805,2270390366
2026-05-11 19:35:56,3.4,63.0,22.7,503749805,2270390408
2026-05-11 19:35:57,2.7,63.0,22.7,503749805,2270390974
2026-05-11 19:35:58,1.6,63.0,22.7,503749860,2270391100
2026-05-11 19:35:59,2.0,63.0,22.7,503751853,2270400013
2026-05-11 19:36:00,1.5,63.0,22.7,503751853,2270400055
2026-05-11 19:36:01,4.8,63.0,22.7,503751853,2270400157
2026-05-11 19:36:02,3.5,63.0,22.7,503751853,2270400217
2026-05-11 19:36:03,2.0,63.0,22.7,503751853,2270400421
2026-05-11 19:36:04,3.9,63.0,22.7,503751853,2270400463
2026-05-11 19:36:05,22.3,63.3,22.7,503751853,2270400523
2026-05-11 19:36:06,8.5,64.1,22.7,503797154,2270413240
2026-05-11 19:36:07,8.1,64.2,22.7,503819226,2270464837
2026-05-11 19:36:08,15.6,64.6,22.7,503854821,2270498919
2026-05-11 19:36:09,4.9,64.6,22.7,503896317,2270505122
2026-05-11 19:36:10,5.4,64.6,22.7,503899530,2270508044
2026-05-11 19:36:11,16.5,63.9,22.7,503902665,2270517814
2026-05-11 19:36:12,4.0,63.9,22.7,503902665,2270517916
2026-05-11 19:36:13,2.8,63.9,22.7,503902665,2270517976
2026-05-11 19:36:14,5.2,63.9,22.7,503903060,2270518743
2026-05-11 19:36:15,4.6,63.8,22.7,503903115,2270518851
2026-05-11 19:36:16,4.6,63.7,22.7,503910572,2270525236
2026-05-11 19:36:17,22.2,63.9,22.7,503962606,2270528256
2026-05-11 19:36:18,22.4,63.7,22.7,503962606,2270528460
2026-05-11 19:36:19,8.6,63.7,22.7,503962784,2270528958
2026-05-11 19:36:20,10.8,63.5,22.7,503962784,2270529018
2026-05-11 19:36:21,9.8,63.3,22.7,503962784,2270529120
2026-05-11 19:42:19,6.8,75.5,22.7,523830929,2274240689
2026-05-11 19:42:20,3.2,75.5,22.7,523830929,2274240731
2026-05-11 19:42:21,5.4,75.6,22.7,523830929,2274240935
2026-05-11 19:42:22,5.0,75.5,22.7,523831019,2274241177
2026-05-11 19:42:23,3.9,76.1,22.7,523831019,2274241237
2026-05-11 19:42:24,7.2,75.7,22.7,523831451,2274241616
2026-05-11 19:42:25,3.4,75.7,22.7,523831735,2274242084
2026-05-11 19:42:26,3.0,75.6,22.7,523832050,2274242408
2026-05-11 19:42:27,2.9,75.6,22.7,523832121,2274243040
2026-05-11 19:42:28,2.1,75.6,22.7,523832247,2274243316
2026-05-11 19:42:29,3.1,75.6,22.7,523832337,2274243558
